Date,Description,Amount,Balance
2024-12-09 18:13:00,Sharpe PAX 3,-1,17
2024-12-08 20:18:00,AG Josiah’s 2,-1,18
2024-12-08 11:29:00,Sharpe PAX 3,-1,19
2024-12-08 03:01:00,Automated reset at 2024-12-08 08:01:22,16,20
2024-12-07 23:03:00,AG Josiah’s 2,-1,4
2024-12-07 16:49:00,Sharpe PAX 3,-1,5
2024-12-07 00:23:00,AG Josiah’s 2,-1,6
2024-12-06 15:10:00,Sharpe PAX 5,-1,7
2024-12-06 11:38:00,Sharpe PAX 3,-1,8
2024-12-05 19:15:00,AG Josiah’s 2,-1,9
2024-12-05 11:27:00,Sharpe PAX 5,-1,10
2024-12-04 17:31:00,VW PAX 1,-1,11
2024-12-04 11:49:00,AG Ivy Room 2,-1,12
2024-12-03 23:10:00,AG Josiah’s 2,-1,13
2024-12-03 20:10:00,VW PAX 1,-1,14
2024-12-03 12:07:00,Sharpe PAX 5,-1,15
2024-12-02 19:06:00,Sharpe PAX 5,-1,16
2024-12-02 12:58:00,VW PAX 2,-1,17
2024-12-01 18:36:00,Sharpe PAX 3,-1,18
2024-12-01 10:38:00,Sharpe PAX 4,-1,19
2024-12-01 03:01:00,Automated reset at 2024-12-01 08:01:25,8,20
2024-11-27 10:01:00,Sharpe PAX 4,-1,12
2024-11-26 20:09:00,VW PAX 1,-1,13
2024-11-26 12:54:00,Sharpe PAX 5,-1,14
2024-11-25 12:59:00,VW PAX 1,-1,15
2024-11-25 08:48:00,Sharpe PAX 5,-1,16
2024-11-24 23:32:00,AG Josiah’s 2,-1,17
2024-11-24 19:48:00,AG Ivy Room 2,-1,18
2024-11-24 11:08:00,Sharpe PAX 4,-1,19
2024-11-24 03:01:00,Automated reset at 2024-11-24 08:01:28,19,20
2024-11-23 13:33:00,AG Andrews 1,-1,1
2024-11-22 18:44:00,Sharpe PAX 4,-1,2
2024-11-22 15:16:00,Sharpe PAX 5,-1,3
2024-11-22 12:57:00,AG Ivy Room 2,-1,4
2024-11-21 18:15:00,Sharpe PAX 4,-1,5
2024-11-21 14:03:00,VW PAX 1,-1,6
2024-11-21 11:04:00,Sharpe PAX 5,-1,7
2024-11-20 22:12:00,AG Josiah’s 2,-1,8
2024-11-20 18:28:00,Sharpe PAX 4,-1,9
2024-11-20 11:42:00,Sharpe PAX 4,-1,10
2024-11-19 21:46:00,AG Josiah’s 2,-1,11
2024-11-19 18:33:00,VW PAX 1,-1,12
2024-11-19 13:58:00,VW PAX 1,-1,13
2024-11-19 10:55:00,Sharpe PAX 4,-1,14
2024-11-18 21:56:00,AG Josiah’s 2,-1,15
2024-11-18 18:08:00,Sharpe PAX 5,-1,16
2024-11-18 12:57:00,VW PAX 1,-1,17
2024-11-17 20:35:00,AG Ivy Room 2,-1,18
2024-11-17 12:35:00,Sharpe PAX 4,-1,19
2024-11-17 03:01:00,Automated reset at 2024-11-17 08:01:31,16,20
2024-11-16 21:46:00,AG Josiah’s 2,-1,4
2024-11-16 17:57:00,Sharpe PAX 4,-1,5
2024-11-16 13:15:00,Sharpe PAX 3,-1,6
2024-11-15 22:28:00,AG Josiah’s 2,-1,7
2024-11-15 20:01:00,VW PAX 1,-1,8
2024-11-15 12:57:00,Sharpe PAX 5,-1,9
2024-11-15 08:47:00,Sharpe PAX 4,-1,10
2024-11-14 17:57:00,Sharpe PAX 4,-1,11
2024-11-14 11:38:00,Sharpe PAX 4,-1,12
2024-11-13 18:14:00,Sharpe PAX 3,-1,13
2024-11-13 10:51:00,Sharpe PAX 4,-1,14
2024-11-12 11:58:00,Sharpe PAX 3,-1,15
2024-11-11 22:43:00,AG Josiah’s 2,-1,16
2024-11-11 22:43:00,AG Josiah’s 2,-1,17
2024-11-11 18:03:00,Sharpe PAX 4,-1,18
2024-11-11 12:57:00,VW PAX 1,-1,19
2024-11-10 03:01:00,Automated reset at 2024-11-10 08:01:26,13,20
2024-11-08 20:53:00,AG Josiah’s 1,-1,7
2024-11-07 17:24:00,Sharpe PAX 4,-1,8
2024-11-07 11:48:00,Sharpe PAX 3,-1,9
2024-11-06 19:24:00,VW PAX 2,-1,10
2024-11-06 13:00:00,VW PAX 1,-1,11
2024-11-05 11:54:00,AG Ivy Room 2,-1,12
2024-11-05 08:34:00,VW PAX 1,-1,13
2024-11-04 19:14:00,Sharpe PAX 5,-1,14
2024-11-04 12:57:00,VW PAX 1,-1,15
2024-11-03 21:16:00,AG Josiah’s 2,-1,16
2024-11-03 20:58:00,AG Josiah’s 2,-1,17
2024-11-03 13:33:00,AG Andrews 1,-1,18
2024-11-03 08:44:00,Sharpe PAX 3,-1,19
2024-11-03 03:01:00,Automated reset at 2024-11-03 08:01:01,15,20
2024-11-02 13:02:00,Sharpe PAX 7,-1,5
2024-11-02 10:35:00,Sharpe PAX 7,-1,6
2024-11-01 18:01:00,VW PAX 1,-1,7
2024-11-01 12:59:00,AG Ivy Room 2,-1,8
2024-11-01 09:56:00,Sharpe PAX 7,-1,9
2024-10-31 18:35:00,Sharpe PAX 7,-1,10
2024-10-31 13:00:00,VW PAX 1,-1,11
2024-10-30 19:14:00,Sharpe PAX 7,-1,12
2024-10-30 11:44:00,AG Ivy Room 2,-1,13
2024-10-29 17:20:00,VW PAX 1,-1,14
2024-10-29 10:21:00,Sharpe PAX 7,-1,15
2024-10-28 23:05:00,AG Josiah’s 2,-1,16
2024-10-28 12:57:00,VW PAX 1,-1,17
2024-10-27 16:59:00,Sharpe PAX 7,-1,18
2024-10-27 10:59:00,Sharpe PAX 7,-1,19
2024-10-27 03:01:00,Automated reset at 2024-10-27 07:01:23,10,20
2024-10-26 18:59:00,Sharpe PAX 7,-1,10
2024-10-24 11:30:00,Sharpe PAX 4,-1,11
2024-10-24 10:13:00,Sharpe PAX 4,-1,12
2024-10-23 12:55:00,Sharpe PAX 3,-1,13
2024-10-22 18:26:00,Sharpe PAX 4,-1,14
2024-10-22 12:15:00,Sharpe PAX 4,-1,15
2024-10-22 09:13:00,Sharpe PAX 4,-1,16
2024-10-21 18:02:00,VW PAX 2,-1,17
2024-10-21 12:58:00,VW PAX 1,-1,18
2024-10-21 07:56:00,Sharpe PAX 4,-1,19
2024-10-20 03:01:00,Automated reset at 2024-10-20 07:01:22,12,20
2024-10-19 17:38:00,Sharpe PAX 6,-1,8
2024-10-18 12:56:00,AG Ivy Room 2,-1,9
2024-10-18 08:36:00,Sharpe PAX 4,-1,10
2024-10-17 20:02:00,VW PAX 1,-1,11
2024-10-17 10:57:00,Sharpe PAX 3,-1,12
2024-10-16 22:39:00,AG Josiah’s 2,-1,13
2024-10-16 22:26:00,AG Josiah’s 2,-1,14
2024-10-16 16:40:00,VW PAX 1,-1,15
2024-10-16 11:36:00,Sharpe PAX 4,-1,16
2024-10-15 18:12:00,VW PAX 1,-1,17
2024-10-15 11:37:00,Sharpe PAX 5,-1,18
2024-10-14 19:34:00,VW PAX 1,-1,19
2024-10-13 03:01:00,Automated reset at 2024-10-13 07:01:23,10,20
2024-10-11 11:30:00,AG Ivy Room 2,-1,10
2024-10-11 10:58:00,Sharpe PAX 6,-1,11
2024-10-10 18:04:00,VW PAX 1,-1,12
2024-10-10 10:39:00,VW PAX 1,-1,13
2024-10-09 11:24:00,Sharpe PAX 6,-1,14
2024-10-08 12:47:00,VW PAX 1,-1,15
2024-10-07 20:16:00,VW PAX 1,-1,16
2024-10-07 12:57:00,VW PAX 1,-1,17
2024-10-06 22:14:00,AG Josiah’s 2,-1,18
2024-10-06 13:12:00,AG Andrews 1,-1,19
2024-10-06 03:01:00,Automated reset at 2024-10-06 07:01:22,14,20
2024-10-06 01:09:00,AG Josiah’s 2,-1,6
2024-10-05 19:15:00,Sharpe PAX 6,-1,7
2024-10-04 23:17:00,AG Josiah’s 2,-1,8
2024-10-04 11:49:00,AG Ivy Room 2,-1,9
2024-10-03 22:41:00,AG Josiah’s 2,-1,10
